max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,best_iter,pr_auc_calib
4,0.03,5,0.8,0.8,1.0,262,0.3603770796836329
3,0.03,5,0.8,0.8,10.0,432,0.3600139812582861
4,0.1,5,0.8,0.8,1.0,93,0.35980754329938025
3,0.1,5,0.8,0.8,10.0,192,0.35940181975769325
3,0.03,5,0.8,0.8,1.0,288,0.3589305038350067
4,0.1,5,0.8,0.8,10.0,121,0.3586187945740797
4,0.03,5,0.8,0.8,10.0,316,0.35699906546470894
3,0.03,30,0.8,0.8,1.0,448,0.3567416308104033
4,0.1,30,0.8,0.8,10.0,192,0.35668591204455735
3,0.03,30,0.8,0.8,10.0,452,0.3565770350217526
4,0.03,30,0.8,0.8,1.0,262,0.35623295463191385
6,0.03,5,0.8,0.8,10.0,220,0.35616842981778307
4,0.1,30,0.8,0.8,1.0,79,0.35555877202304714
3,0.1,5,0.8,0.8,1.0,74,0.3554966215738562
6,0.1,30,0.8,0.8,10.0,81,0.35545075017743455
3,0.1,30,0.8,0.8,1.0,137,0.35482948891596466
4,0.03,30,0.8,0.8,10.0,290,0.35431891896878104
6,0.03,30,0.8,0.8,10.0,263,0.3541763124696155
3,0.1,30,0.8,0.8,10.0,137,0.35414523164718775
6,0.03,5,0.8,0.8,1.0,146,0.35398510679449174
6,0.03,30,0.8,0.8,1.0,196,0.35281394790259785
6,0.1,30,0.8,0.8,1.0,53,0.35249588444532326
6,0.1,5,0.8,0.8,10.0,92,0.35211354396549777
6,0.1,5,0.8,0.8,1.0,14,0.3470549282228629
