cell_km,variable,rate_ratio,p,n_filas,n_celdas
5,wind_speed,1.4598864228888098,0.0,1206092,27412
5,dist_costa_km,0.7263305426634261,2.2104539352547358e-107,1206092,27412
5,log_ais_hours,1.930749547351736,0.0,1206092,27412
5,mes_sin,0.7137149255298758,1.6640081199374174e-216,1206092,27412
5,mes_cos,0.7406813632430556,5.960000162524866e-200,1206092,27412
5,anios_desde_2023,1.042429189733698,1.8820286946270777e-09,1206092,27412
10,wind_speed,1.4626318694982638,0.0,308871,7020
10,dist_costa_km,0.7152144924288089,6.408270683276312e-115,308871,7020
10,log_ais_hours,1.9251611052069773,0.0,308871,7020
10,mes_sin,0.7128174002287884,6.167880236430795e-219,308871,7020
10,mes_cos,0.7421573909140089,9.61025704542219e-198,308871,7020
10,anios_desde_2023,1.0435094127661324,7.211826551248536e-10,308871,7020
20,wind_speed,1.449421680741486,0.0,77216,1755
20,dist_costa_km,0.6658035096659064,3.4033158308886284e-165,77216,1755
20,log_ais_hours,1.7988363739095783,0.0,77216,1755
20,mes_sin,0.7136783326646943,4.3617581831915025e-219,77216,1755
20,mes_cos,0.745494396583351,1.1926099712677e-191,77216,1755
20,anios_desde_2023,1.028292938080858,5.1154455390876076e-05,77216,1755
