slick_id,s1_timestamp,s2_image_id,s2_timestamp,desfase_horas,nubes_pct,machine_confidence,area_km2,lon,lat,slick_url,n_candidatas_s2
3116772,2023-06-30 02:31:53+00:00,COPERNICUS/S2_SR_HARMONIZED/20230630T065629_20230630T070454_T39RXK,2023-06-30 07:12:23.138000+00:00,4.68,0.0,0.9999,13.08,52.67372298744832,26.881103625351397,https://cerulean.skytruth.org/slicks/3116772?ref=api&slick_id=3116772,1
3116767,2023-06-30 02:31:53+00:00,COPERNICUS/S2_SR_HARMONIZED/20230630T065629_20230630T070454_T39RXK,2023-06-30 07:12:23.138000+00:00,4.68,0.0,0.9999,32.26,52.31792248075349,27.01264890015629,https://cerulean.skytruth.org/slicks/3116767?ref=api&slick_id=3116767,2
3077920,2023-10-21 02:40:00+00:00,COPERNICUS/S2_SR_HARMONIZED/20231021T070929_20231021T071122_T39RVL,2023-10-21 07:22:07.757000+00:00,4.7,3.06,0.9974,28.41,50.66806371870018,27.693866857421465,https://cerulean.skytruth.org/slicks/3077920?ref=api&slick_id=3077920,1
3153144,2023-06-23 02:39:55+00:00,COPERNICUS/S2_SR_HARMONIZED/20230623T070629_20230623T071308_T39RVK,2023-06-23 07:22:24.242000+00:00,4.71,2.07,0.9984,18.12,50.49200694296845,26.43725394138247,https://cerulean.skytruth.org/slicks/3153144?ref=api&slick_id=3153144,1
3611578,2024-04-18 02:39:32+00:00,COPERNICUS/S2_SR_HARMONIZED/20240418T070619_20240418T071804_T39RVM,2024-04-18 07:21:52.388000+00:00,4.71,0.07,0.9951,26.45,50.4571052408313,28.13518907210436,https://cerulean.skytruth.org/slicks/3611578?ref=api&slick_id=3611578,1
5016249,2026-06-14 02:38:41+00:00,COPERNICUS/S2_SR_HARMONIZED/20260614T071321_20260614T071319_T39RVM,2026-06-14 07:22:06.842000+00:00,4.72,0.05,0.9979,122.81,50.10429448341704,28.26435588937969,https://cerulean.skytruth.org/slicks/5016249?ref=api&slick_id=5016249,2
4984221,2026-06-02 02:39:05+00:00,COPERNICUS/S2_SR_HARMONIZED/20260602T070621_20260602T071658_T39RVK,2026-06-02 07:22:18.346000+00:00,4.72,0.12,0.9989,11.73,50.49715564514252,26.420921197994524,https://cerulean.skytruth.org/slicks/4984221?ref=api&slick_id=4984221,1
5016309,2026-06-14 02:38:12+00:00,COPERNICUS/S2_SR_HARMONIZED/20260614T071321_20260614T071319_T39RVM,2026-06-14 07:22:06.842000+00:00,4.73,0.05,0.9994,40.38,50.58352789180189,28.75584545630068,https://cerulean.skytruth.org/slicks/5016309?ref=api&slick_id=5016309,1
3122992,2023-06-16 02:47:47+00:00,COPERNICUS/S2_SR_HARMONIZED/20230616T071619_20230616T072136_T39RTM,2023-06-16 07:31:59.176000+00:00,4.74,0.03,0.9966,21.53,48.83358457287528,28.051058496085155,https://cerulean.skytruth.org/slicks/3122992?ref=api&slick_id=3122992,2
5070995,2026-07-07 02:46:09+00:00,COPERNICUS/S2_SR_HARMONIZED/20260707T072321_20260707T073114_T39RUN,2026-07-07 07:31:51.740000+00:00,4.76,0.0,0.9963,14.43,48.96204568058538,29.46734953485841,https://cerulean.skytruth.org/slicks/5070995?ref=api&slick_id=5070995,2
3057360,2024-06-26 02:15:52+00:00,COPERNICUS/S2_SR_HARMONIZED/20240626T064631_20240626T065632_T40RBP,2024-06-26 07:02:33.034000+00:00,4.78,0.01,0.9983,13.64,54.525041763905314,25.39208927101349,https://cerulean.skytruth.org/slicks/3057360?ref=api&slick_id=3057360,2
3019411,2024-08-25 02:15:26+00:00,COPERNICUS/S2_SR_HARMONIZED/20240825T064621_20240825T065442_T40RBP,2024-08-25 07:02:27.626000+00:00,4.78,0.01,0.9977,40.27,54.6704367066075,25.84646940141695,https://cerulean.skytruth.org/slicks/3019411?ref=api&slick_id=3019411,2
3915748,2025-04-22 02:15:21+00:00,COPERNICUS/S2_SR_HARMONIZED/20250422T064651_20250422T070148_T40RDP,2025-04-22 07:02:45.014000+00:00,4.79,0.11,0.9978,18.77,56.43798580315234,25.56062134541184,https://cerulean.skytruth.org/slicks/3915748?ref=api&slick_id=3915748,1
3845025,2025-02-21 02:15:45+00:00,COPERNICUS/S2_SR_HARMONIZED/20250221T064931_20250221T070241_T39RZH,2025-02-21 07:03:07.339000+00:00,4.79,8.56,0.9992,17.84,54.5099448438712,24.993858363748696,https://cerulean.skytruth.org/slicks/3845025?ref=api&slick_id=3845025,2
4333279,2025-08-20 02:15:17+00:00,COPERNICUS/S2_SR_HARMONIZED/20250820T064751_20250820T065636_T40RBP,2025-08-20 07:02:49.395000+00:00,4.79,9.92,0.9981,8.09,54.69162823600143,25.81117877371207,https://cerulean.skytruth.org/slicks/4333279?ref=api&slick_id=4333279,2
5006710,2026-06-09 02:23:42+00:00,COPERNICUS/S2_SR_HARMONIZED/20260609T065621_20260609T070730_T39RXJ,2026-06-09 07:12:31.943000+00:00,4.81,0.0,0.9994,9.69,52.51784849107511,25.911937735208017,https://cerulean.skytruth.org/slicks/5006710?ref=api&slick_id=5006710,1
3610741,2024-06-19 02:24:02+00:00,COPERNICUS/S2_SR_HARMONIZED/20240619T065631_20240619T071054_T40RBP,2024-06-19 07:12:30.927000+00:00,4.81,3.99,0.9961,27.11,54.36134264227586,25.46931438022831,https://cerulean.skytruth.org/slicks/3610741?ref=api&slick_id=3610741,2
4830535,2026-04-10 02:23:19+00:00,COPERNICUS/S2_SR_HARMONIZED/20260410T065731_20260410T070834_T39RXK,2026-04-10 07:12:15.334000+00:00,4.82,0.0,0.9972,10.82,52.67291570569107,26.668929547464423,https://cerulean.skytruth.org/slicks/4830535?ref=api&slick_id=4830535,1
4384086,2025-09-12 02:22:47+00:00,COPERNICUS/S2_SR_HARMONIZED/20250912T065631_20250912T070608_T39RXJ,2025-09-12 07:12:46.479000+00:00,4.83,5.95,0.9996,18.25,52.77413556612756,25.901820450463628,https://cerulean.skytruth.org/slicks/4384086?ref=api&slick_id=4384086,1
3343007,2024-06-12 02:31:29+00:00,COPERNICUS/S2_SR_HARMONIZED/20240612T070631_20240612T071821_T39RVM,2024-06-12 07:21:57.464000+00:00,4.84,0.02,0.9961,12.08,50.89780719709036,28.50093987729909,https://cerulean.skytruth.org/slicks/3343007?ref=api&slick_id=3343007,1
5016385,2026-06-14 02:31:09+00:00,COPERNICUS/S2_SR_HARMONIZED/20260614T071321_20260614T071319_T39RVM,2026-06-14 07:22:06.842000+00:00,4.85,0.05,0.9983,27.46,50.60345286198861,28.72945989915231,https://cerulean.skytruth.org/slicks/5016385?ref=api&slick_id=5016385,1
4434525,2025-10-05 02:31:20+00:00,COPERNICUS/S2_SR_HARMONIZED/20251005T070801_20251005T071739_T39RXL,2025-10-05 07:22:13.765000+00:00,4.85,0.01,0.9998,27.22,52.46318800904406,27.34370018413208,https://cerulean.skytruth.org/slicks/4434525?ref=api&slick_id=4434525,2
5046905,2026-06-27 02:30:30+00:00,COPERNICUS/S2_SR_HARMONIZED/20260627T070619_20260627T071859_T39RWL,2026-06-27 07:22:00.558000+00:00,4.86,1.84,0.9995,26.47,51.25768612684337,27.425112952434844,https://cerulean.skytruth.org/slicks/5046905?ref=api&slick_id=5046905,1
3165526,2023-10-09 02:39:35+00:00,COPERNICUS/S2_SR_HARMONIZED/20231009T071811_20231009T072130_T39RVM,2023-10-09 07:31:46.347000+00:00,4.87,0.0,0.9998,20.65,50.40159546303551,28.675905326859688,https://cerulean.skytruth.org/slicks/3165526?ref=api&slick_id=3165526,1
