zona_estudio,cell_id,s1_scene_id,n_events
golfo_persico,10_53,S1A_IW_GRDH_1SDV_20230810T023932_20230810T023957_049807_05FD65_4106,1
golfo_persico,10_53,S1C_IW_GRDH_1SDV_20250724T023828_20250724T023853_003356_006C1B_381C,1
golfo_persico,10_55,S1A_IW_GRDH_1SDV_20230822T023933_20230822T023958_049982_060360_9803,1
golfo_persico,10_55,S1D_IW_GRDH_1SDV_20260514T024648_20260514T024710_002774_004B15_CB27,1
golfo_persico,10_57,S1A_IW_GRDH_1SDV_20231026T024752_20231026T024816_050930_0623BD_E28E,1
golfo_persico,10_57,S1A_IW_GRDH_1SDV_20250524T024741_20250524T024805_059330_075D10_1CA9,1
golfo_persico,10_58,S1A_IW_GRDH_1SDV_20230324T024743_20230324T024807_047780_05BD7A_111C,1
golfo_persico,10_58,S1A_IW_GRDH_1SDV_20250317T145033_20250317T145058_058346_0736AB_B28F,1
golfo_persico,10_58,S1A_IW_GRDH_1SDV_20250524T024741_20250524T024805_059330_075D10_1CA9,1
golfo_persico,10_58,S1A_IW_GRDH_1SDV_20250711T024739_20250711T024802_060030_077537_32FA,2
golfo_persico,10_58,S1D_IW_GRDH_1SDV_20260514T024648_20260514T024710_002774_004B15_CB27,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20230123T024744_20230123T024808_046905_059FFE_207D,2
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20230312T024743_20230312T024807_047605_05B794_D768,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20230523T024745_20230523T024809_048655_05DA15_3B41,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20240505T024750_20240505T024813_053730_06871C_49CE,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20241012T145040_20241012T145105_056071_06DC0B_F8E1,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20250715T145030_20250715T145055_060096_077779_08F5,1
golfo_persico,10_59,S1A_IW_GRDH_1SDV_20260315T023913_20260315T023938_063632_07FF8E_A192,1
golfo_persico,10_59,S1C_IW_GRDH_1SDV_20250729T024637_20250729T024700_003429_006E4A_7FBB,1
golfo_persico,10_59,S1C_IW_GRDH_1SDV_20251126T024638_20251126T024701_005179_00A468_F09A,1
golfo_persico,10_59,S1C_IW_GRDH_1SDV_20260426T023828_20260426T023853_007381_00EF92_A668,1
golfo_persico,10_59,S1D_IW_GRDH_1SDV_20260619T024650_20260619T024713_003299_005C79_ABBC,1
golfo_persico,10_60,S1A_IW_GRDH_1SDV_20240509T145041_20240509T145106_053796_06898C_EA40,1
golfo_persico,10_60,S1A_IW_GRDH_1SDV_20250528T145032_20250528T145057_059396_075F5B_091B,1
golfo_persico,10_60,S1A_IW_GRDH_1SDV_20250605T024741_20250605T024804_059505_076320_5AB6,1
golfo_persico,10_60,S1A_IW_GRDH_1SDV_20260131T024731_20260131T024755_063005_07E7E1_0EDF,2
golfo_persico,10_60,S1A_IW_GRDH_1SDV_20260216T145022_20260216T145047_063246_07F0D2_C0D4,1
golfo_persico,10_60,S1C_IW_GRDH_1SDV_20250927T024610_20250927T024639_004304_008898_EA35,1
golfo_persico,10_60,S1C_IW_GRDH_1SDV_20260726T023801_20260726T023830_008708_01141B_326A,1
golfo_persico,10_60,S1D_IW_GRDH_1SDV_20260717T144957_20260717T145022_003715_006A68_77EA,1
golfo_persico,10_60,S1D_IW_GRDH_1SDV_20260810T144958_20260810T145023_004065_007680_D0A7,1
golfo_persico,10_61,S1A_IW_GRDH_1SDV_20230815T024750_20230815T024814_049880_05FFDB_EAE8,1
