cell_id,profundidad_m,prof_abs
2_65,-1.0,1.0
3_65,-1.0,1.0
3_77,-2.0,2.0
4_65,-3.0,3.0
4_66,-3.0,3.0
4_67,-9.0,9.0
5_65,-15.0,15.0
5_66,-3.0,3.0
5_69,-1.0,1.0
6_61,-9.0,9.0
6_62,-19.0,19.0
6_63,-23.0,23.0
6_64,-20.0,20.0
6_65,-2.0,2.0
6_66,-2.0,2.0
6_68,-7.0,7.0
7_60,-11.0,11.0
7_61,-19.0,19.0
7_62,-23.0,23.0
7_63,-17.0,17.0
7_64,-4.0,4.0
7_65,-3.0,3.0
7_66,-3.0,3.0
7_67,-1.0,1.0
7_71,-5.0,5.0
8_57,-1.0,1.0
8_58,-4.0,4.0
8_59,-15.0,15.0
8_60,-12.0,12.0
8_61,-23.0,23.0
8_62,-25.0,25.0
8_63,-10.0,10.0
8_64,-4.0,4.0
8_65,-3.0,3.0
8_66,-4.0,4.0
8_67,-2.0,2.0
8_68,-1.0,1.0
8_70,-7.0,7.0
8_71,-2.0,2.0
8_74,-2.0,2.0
9_56,-9.0,9.0
9_57,-12.0,12.0
9_58,-18.0,18.0
9_59,-25.0,25.0
9_60,-23.0,23.0
9_61,-25.0,25.0
9_62,-18.0,18.0
9_63,-9.0,9.0
9_64,-6.0,6.0
9_65,-6.0,6.0
9_66,-8.0,8.0
9_67,-5.0,5.0
9_68,-4.0,4.0
9_69,-3.0,3.0
9_70,-5.0,5.0
9_73,-27.0,27.0
10_53,-4.0,4.0
10_54,-6.0,6.0
10_55,-16.0,16.0
10_56,-20.0,20.0
10_57,-21.0,21.0
10_58,-22.0,22.0
10_59,-21.0,21.0
10_60,-23.0,23.0
10_61,-20.0,20.0
10_62,-15.0,15.0
10_63,-10.0,10.0
10_64,-11.0,11.0
10_65,-11.0,11.0
10_66,-8.0,8.0
10_67,-8.0,8.0
10_68,-2.0,2.0
10_69,-6.0,6.0
10_70,-2.0,2.0
10_73,-22.0,22.0
11_50,-1.0,1.0
11_51,-4.0,4.0
11_52,-1.0,1.0
11_53,-14.0,14.0
11_54,-18.0,18.0
11_55,-22.0,22.0
11_56,-23.0,23.0
11_57,-10.0,10.0
11_58,-21.0,21.0
11_59,-25.0,25.0
11_60,-27.0,27.0
11_61,-23.0,23.0
11_62,-16.0,16.0
11_63,-11.0,11.0
11_64,-9.0,9.0
11_65,-10.0,10.0
11_66,-7.0,7.0
11_67,-11.0,11.0
11_68,-11.0,11.0
11_69,-8.0,8.0
11_70,-3.0,3.0
11_71,-1.0,1.0
12_49,-2.0,2.0
12_50,-3.0,3.0
12_51,-6.0,6.0
12_52,-12.0,12.0
12_53,-18.0,18.0
12_54,-18.0,18.0
12_55,-18.0,18.0
12_56,-17.0,17.0
12_57,-22.0,22.0
12_58,-29.0,29.0
12_59,-29.0,29.0
12_60,-26.0,26.0
12_61,-27.0,27.0
12_62,-17.0,17.0
12_63,-10.0,10.0
12_64,-11.0,11.0
12_65,-9.0,9.0
12_66,-12.0,12.0
12_67,-14.0,14.0
12_68,-11.0,11.0
12_69,-11.0,11.0
12_70,-3.0,3.0
12_71,-2.0,2.0
12_76,-5.0,5.0
13_46,-1.0,1.0
13_48,-4.0,4.0
13_49,-3.0,3.0
13_50,-3.0,3.0
13_51,-8.0,8.0
13_52,-14.0,14.0
13_53,-9.0,9.0
13_54,-16.0,16.0
13_55,-20.0,20.0
13_56,-19.0,19.0
13_57,-32.0,32.0
13_58,-28.0,28.0
13_59,-31.0,31.0
13_60,-31.0,31.0
13_61,-26.0,26.0
13_62,-21.0,21.0
13_63,-12.0,12.0
13_64,-19.0,19.0
13_65,-14.0,14.0
13_66,-17.0,17.0
13_67,-19.0,19.0
13_68,-20.0,20.0
13_69,-19.0,19.0
13_70,-7.0,7.0
13_71,-3.0,3.0
14_46,-4.0,4.0
14_47,-3.0,3.0
14_48,-2.0,2.0
14_49,-4.0,4.0
14_50,-3.0,3.0
14_51,-6.0,6.0
14_52,-10.0,10.0
14_53,-17.0,17.0
14_54,-19.0,19.0
14_55,-24.0,24.0
14_56,-33.0,33.0
14_57,-28.0,28.0
14_58,-33.0,33.0
14_59,-29.0,29.0
14_60,-29.0,29.0
14_61,-30.0,30.0
14_62,-25.0,25.0
14_63,-19.0,19.0
14_64,-12.0,12.0
14_65,-25.0,25.0
14_66,-13.0,13.0
14_67,-18.0,18.0
14_68,-17.0,17.0
