cell_id,ev_Antes,ev_Despues,pa_Antes,pa_Despues,tasa_antes,tasa_despues,delta_tasa,esperado,exceso
0_0,0,0,72,37,0.0,0.0,0.0,0.0,0.0
0_1,0,0,72,37,0.0,0.0,0.0,0.0,0.0
0_10,0,0,72,41,0.0,0.0,0.0,0.0,0.0
0_11,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_12,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_13,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_14,0,0,143,66,0.0,0.0,0.0,0.0,0.0
0_15,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_16,0,0,73,36,0.0,0.0,0.0,0.0,0.0
0_17,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_18,0,0,72,37,0.0,0.0,0.0,0.0,0.0
0_19,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_2,0,0,73,41,0.0,0.0,0.0,0.0,0.0
0_20,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_21,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_22,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_23,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_24,0,0,223,137,0.0,0.0,0.0,0.0,0.0
0_25,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_26,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_27,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_28,0,0,148,111,0.0,0.0,0.0,0.0,0.0
0_29,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_3,0,0,73,41,0.0,0.0,0.0,0.0,0.0
0_30,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_31,0,0,220,135,0.0,0.0,0.0,0.0,0.0
0_32,0,0,148,105,0.0,0.0,0.0,0.0,0.0
0_33,0,0,149,105,0.0,0.0,0.0,0.0,0.0
0_34,0,0,149,105,0.0,0.0,0.0,0.0,0.0
0_35,0,0,148,106,0.0,0.0,0.0,0.0,0.0
0_36,0,0,148,143,0.0,0.0,0.0,0.0,0.0
0_37,0,0,148,139,0.0,0.0,0.0,0.0,0.0
0_38,0,0,148,104,0.0,0.0,0.0,0.0,0.0
0_39,0,0,148,104,0.0,0.0,0.0,0.0,0.0
0_4,0,0,73,41,0.0,0.0,0.0,0.0,0.0
0_40,0,0,148,104,0.0,0.0,0.0,0.0,0.0
0_41,0,0,222,134,0.0,0.0,0.0,0.0,0.0
0_42,0,0,147,103,0.0,0.0,0.0,0.0,0.0
0_43,0,0,147,103,0.0,0.0,0.0,0.0,0.0
0_44,0,0,148,108,0.0,0.0,0.0,0.0,0.0
0_45,0,0,148,113,0.0,0.0,0.0,0.0,0.0
0_46,0,0,148,144,0.0,0.0,0.0,0.0,0.0
0_47,0,0,149,144,0.0,0.0,0.0,0.0,0.0
0_48,0,0,291,202,0.0,0.0,0.0,0.0,0.0
0_49,0,0,219,173,0.0,0.0,0.0,0.0,0.0
0_5,0,0,73,41,0.0,0.0,0.0,0.0,0.0
0_50,0,0,219,173,0.0,0.0,0.0,0.0,0.0
0_51,0,0,220,173,0.0,0.0,0.0,0.0,0.0
0_52,0,0,219,174,0.0,0.0,0.0,0.0,0.0
0_53,0,0,219,177,0.0,0.0,0.0,0.0,0.0
0_54,0,0,219,208,0.0,0.0,0.0,0.0,0.0
0_55,0,0,219,174,0.0,0.0,0.0,0.0,0.0
0_56,0,0,215,173,0.0,0.0,0.0,0.0,0.0
0_57,0,0,148,138,0.0,0.0,0.0,0.0,0.0
0_58,0,0,222,168,0.0,0.0,0.0,0.0,0.0
0_59,0,0,222,168,0.0,0.0,0.0,0.0,0.0
0_6,0,0,144,68,0.0,0.0,0.0,0.0,0.0
0_60,0,0,148,138,0.0,0.0,0.0,0.0,0.0
0_61,0,0,148,175,0.0,0.0,0.0,0.0,0.0
0_62,0,0,148,139,0.0,0.0,0.0,0.0,0.0
0_63,0,0,149,144,0.0,0.0,0.0,0.0,0.0
0_64,0,0,220,173,0.0,0.0,0.0,0.0,0.0
0_65,0,0,150,140,0.0,0.0,0.0,0.0,0.0
0_66,0,0,149,140,0.0,0.0,0.0,0.0,0.0
0_67,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_68,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_69,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_7,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_70,0,0,148,144,0.0,0.0,0.0,0.0,0.0
0_71,0,0,148,144,0.0,0.0,0.0,0.0,0.0
0_72,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_73,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_74,0,0,148,140,0.0,0.0,0.0,0.0,0.0
0_75,0,0,148,105,0.0,0.0,0.0,0.0,0.0
0_76,0,0,223,135,0.0,0.0,0.0,0.0,0.0
0_77,0,0,149,105,0.0,0.0,0.0,0.0,0.0
0_8,0,0,72,36,0.0,0.0,0.0,0.0,0.0
0_9,0,0,72,36,0.0,0.0,0.0,0.0,0.0
10_0,0,0,77,40,0.0,0.0,0.0,0.0,0.0
10_1,0,0,77,40,0.0,0.0,0.0,0.0,0.0
10_10,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_11,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_12,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_13,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_14,0,0,149,67,0.0,0.0,0.0,0.0,0.0
10_15,0,0,150,67,0.0,0.0,0.0,0.0,0.0
10_16,0,0,222,99,0.0,0.0,0.0,0.0,0.0
