mes,ejecuciones,detecciones,pasadas,eventos,tasa,det_por_ejecucion,tramo
2023-01,36,135,45864,134,2.9216814931100648,3.75,Antes
2023-02,36,201,38894,200,5.142181313313107,5.583333333333333,Antes
2023-03,65,468,50079,467,9.325266079594241,7.2,Antes
2023-04,52,419,44260,418,9.444193402620876,8.057692307692308,Antes
2023-05,63,486,48274,486,10.067531176202511,7.714285714285714,Antes
2023-06,55,412,47255,412,8.718654110676118,7.490909090909091,Antes
2023-07,59,477,49141,477,9.70676217415193,8.084745762711865,Antes
2023-08,65,445,41578,444,10.678724325364374,6.846153846153846,Antes
2023-09,51,344,41124,344,8.364945044256396,6.745098039215686,Antes
2023-10,60,426,46577,424,9.103205444747408,7.1,Antes
2023-11,42,235,39043,235,6.01900468713982,5.595238095238095,Antes
2023-12,52,318,48540,318,6.551297898640297,6.115384615384615,Antes
2024-01,46,202,43440,202,4.650092081031307,4.391304347826087,Antes
2024-02,45,211,43240,211,4.879740980573543,4.688888888888889,Antes
2024-03,42,241,48612,241,4.957623632025014,5.738095238095238,Antes
2024-04,62,421,47867,421,8.795203376021059,6.790322580645161,Antes
2024-05,60,466,48736,465,9.541201575837164,7.766666666666667,Antes
2024-06,60,510,44358,510,11.497362369809279,8.5,Antes
2024-07,58,470,47807,469,9.81027882946012,8.10344827586207,Antes
2024-08,66,570,49155,570,11.595971925541654,8.636363636363637,Antes
2024-09,59,416,47322,416,8.790837242720087,7.0508474576271185,Antes
2024-10,55,346,48095,346,7.1940950202723775,6.290909090909091,Antes
2024-11,53,267,46305,267,5.766115970197602,5.037735849056604,Antes
2024-12,57,246,48640,245,5.037006578947368,4.315789473684211,Antes
2025-01,46,260,50109,259,5.168732163882736,5.6521739130434785,Antes
2025-02,43,176,43439,176,4.051658647758926,4.093023255813954,Antes
2025-03,56,332,48849,332,6.796454379823538,5.928571428571429,Antes
2025-04,56,390,46641,388,8.31886108788405,6.964285714285714,Antes
2025-05,56,417,50115,414,8.260999700688417,7.446428571428571,Antes
2025-06,55,418,45585,418,9.169683009761982,7.6,Antes
2025-07,81,685,59974,683,11.388268249574816,8.45679012345679,Despues
2025-08,129,986,77526,924,11.918582153084127,7.6434108527131785,Despues
2025-09,125,921,81203,915,11.268056598894129,7.368,Despues
2025-10,124,743,83636,722,8.632646228896647,5.991935483870968,Despues
2025-11,115,628,77655,607,7.816624814886356,5.460869565217391,Despues
2025-12,108,593,83896,591,7.044435968341756,5.4907407407407405,Despues
2026-01,99,441,82009,440,5.365264788011072,4.454545454545454,Despues
2026-02,102,634,72205,633,8.766705906793158,6.215686274509804,Despues
2026-03,104,540,83914,539,6.423242843863956,5.1923076923076925,Despues
2026-04,110,692,82313,687,8.346190759661292,6.290909090909091,Despues
2026-05,165,1028,110058,1023,9.295098947827508,6.2303030303030305,Despues
2026-06,155,1140,97700,1139,11.65813715455476,7.354838709677419,Despues
2026-07,139,1141,85422,1138,13.322095010652994,8.20863309352518,Despues
2026-08,87,935,49133,917,18.663627297335804,10.74712643678161,Despues
