cell_id,mes,u10,v10,wind_speed
0_0,2023-01,-1.029223,-0.33896157,3.6694608
0_0,2023-02,-1.1222457,0.042178016,4.5949984
0_0,2023-03,-1.4950647,0.98295075,4.171794
0_0,2023-04,0.029847208,-0.12491646,3.453801
0_0,2023-05,-1.3551668,1.030445,4.1111555
0_0,2023-06,0.045747504,-2.710811,4.067681
0_0,2023-07,-0.47516632,-1.5892907,3.3708782
0_0,2023-08,-0.6709309,-0.58728915,3.7012331
0_0,2023-09,-1.1055987,-1.2573417,2.9133785
0_0,2023-10,-1.4514022,0.37257817,3.004574
0_0,2023-11,-1.4379109,0.12805647,3.2386813
0_0,2023-12,-0.59186745,0.62679046,3.0564895
0_0,2024-01,-0.70426065,0.9007434,3.6008887
0_0,2024-02,-1.2920456,0.3007381,4.479259
0_0,2024-03,-1.6360619,0.12538072,4.347412
0_0,2024-04,-1.0055805,0.062514625,4.088233
0_0,2024-05,-1.0852686,0.39479816,4.344766
0_0,2024-06,-0.365552,-1.229937,3.682834
0_0,2024-07,0.6494949,-3.358845,4.2502413
0_0,2024-08,-0.7253935,-2.4321108,4.126015
0_0,2024-09,-1.0770622,-1.4960855,3.388717
0_0,2024-10,-1.784342,0.44140023,3.3463666
0_0,2024-11,-1.1610181,0.49434802,3.2563584
0_0,2024-12,-0.24788408,0.32164788,3.4799669
0_0,2025-01,-0.66899663,-0.8140335,3.4553561
0_0,2025-02,-1.7084624,-0.6880064,4.256587
0_0,2025-03,-1.5312694,-0.57878137,4.34366
0_0,2025-04,-1.6464597,0.83122385,4.2302384
0_0,2025-05,-1.2728497,-0.7385371,3.7475116
0_0,2025-06,0.11227811,-1.3741158,3.5757787
0_0,2025-07,0.8992293,-3.4207108,4.1108627
0_0,2025-08,-0.58614486,-2.503105,3.8419294
0_0,2025-09,-1.3757921,-1.62569,3.4030385
0_0,2025-10,-0.37189397,-2.1780112,3.147006
0_0,2025-11,-0.15257199,-0.8804615,2.8072007
0_0,2025-12,-0.79390764,0.111594416,3.274977
0_0,2026-01,-0.121570095,0.13666116,4.034524
0_0,2026-02,-0.717474,1.3116729,3.865598
0_0,2026-03,-1.1307054,-0.13871938,4.5918827
0_0,2026-04,-2.0175304,0.05376104,4.567474
0_0,2026-05,-1.468717,-0.1806867,4.138085
0_0,2026-06,-0.5796262,-0.77384937,3.4843059
0_0,2026-07,0.59542364,-3.6229193,4.309851
0_0,2026-08,-0.7704712,-1.2505554,3.0579903
0_1,2023-01,-1.040729,-0.01574301,3.7100806
0_1,2023-02,-1.2132752,0.142328,4.6367846
0_1,2023-03,-1.4251302,1.2524663,4.282037
0_1,2023-04,-0.010175577,-0.18540637,3.3613515
0_1,2023-05,-1.2097219,1.1935624,4.2062426
0_1,2023-06,0.067362085,-2.5985956,4.0258017
0_1,2023-07,-0.41799805,-1.5674913,3.3942845
0_1,2023-08,-0.6965421,-0.56073296,3.6347594
0_1,2023-09,-1.0946774,-1.1435397,2.954928
0_1,2023-10,-1.3839328,0.56344885,2.9615595
0_1,2023-11,-1.3976766,0.19541486,3.2382522
0_1,2023-12,-0.6561473,0.79985464,3.090894
0_1,2024-01,-0.73851913,1.0591434,3.7535846
0_1,2024-02,-1.2715042,0.491715,4.5287423
0_1,2024-03,-1.6025044,0.32426083,4.361608
0_1,2024-04,-0.9542052,0.20503578,4.062977
0_1,2024-05,-1.0686513,0.39403424,4.3657374
0_1,2024-06,-0.3419029,-1.1149793,3.6568744
0_1,2024-07,0.7788028,-3.2665913,4.2315755
0_1,2024-08,-0.6969944,-2.4126582,4.130132
0_1,2024-09,-1.0776237,-1.3839272,3.3496735
0_1,2024-10,-1.7481068,0.4559699,3.375592
0_1,2024-11,-1.090144,0.6268106,3.2994957
0_1,2024-12,-0.32242572,0.52006334,3.5472388
0_1,2025-01,-0.63810104,-0.59771705,3.4370465
0_1,2025-02,-1.6684058,-0.48924106,4.2074575
0_1,2025-03,-1.5320964,-0.398834,4.346181
0_1,2025-04,-1.6629636,0.91698235,4.3389206
0_1,2025-05,-1.2656987,-0.6682561,3.8317928
0_1,2025-06,0.18099555,-1.320291,3.5814023
0_1,2025-07,0.95983917,-3.2898989,4.014102
0_1,2025-08,-0.5532489,-2.4959066,3.7470777
0_1,2025-09,-1.2881945,-1.4982567,3.310787
0_1,2025-10,-0.389669,-1.9965754,3.0458798
0_1,2025-11,-0.16314329,-0.61795336,2.7473488
0_1,2025-12,-0.8087372,0.32009837,3.3266342
0_1,2026-01,-0.26333705,0.38425913,4.101054
0_1,2026-02,-0.7473115,1.6033686,4.039462
0_1,2026-03,-1.1923705,-0.03383341,4.5388355
0_1,2026-04,-1.9905773,0.08034795,4.535414
0_1,2026-05,-1.4513909,-0.13337068,4.159184
0_1,2026-06,-0.60649794,-0.8215463,3.5579867
0_1,2026-07,0.6156401,-3.5313115,4.244106
0_1,2026-08,-0.69248825,-1.1738864,3.0671873
0_2,2023-01,-1.040729,-0.01574301,3.7100806
0_2,2023-02,-1.2132752,0.142328,4.6367846
0_2,2023-03,-1.4251302,1.2524663,4.282037
0_2,2023-04,-0.010175577,-0.18540637,3.3613515
0_2,2023-05,-1.2097219,1.1935624,4.2062426
0_2,2023-06,0.067362085,-2.5985956,4.0258017
0_2,2023-07,-0.41799805,-1.5674913,3.3942845
0_2,2023-08,-0.6965421,-0.56073296,3.6347594
0_2,2023-09,-1.0946774,-1.1435397,2.954928
0_2,2023-10,-1.3839328,0.56344885,2.9615595
0_2,2023-11,-1.3976766,0.19541486,3.2382522
0_2,2023-12,-0.6561473,0.79985464,3.090894
0_2,2024-01,-0.73851913,1.0591434,3.7535846
0_2,2024-02,-1.2715042,0.491715,4.5287423
0_2,2024-03,-1.6025044,0.32426083,4.361608
0_2,2024-04,-0.9542052,0.20503578,4.062977
0_2,2024-05,-1.0686513,0.39403424,4.3657374
0_2,2024-06,-0.3419029,-1.1149793,3.6568744
0_2,2024-07,0.7788028,-3.2665913,4.2315755
0_2,2024-08,-0.6969944,-2.4126582,4.130132
0_2,2024-09,-1.0776237,-1.3839272,3.3496735
0_2,2024-10,-1.7481068,0.4559699,3.375592
0_2,2024-11,-1.090144,0.6268106,3.2994957
0_2,2024-12,-0.32242572,0.52006334,3.5472388
0_2,2025-01,-0.63810104,-0.59771705,3.4370465
0_2,2025-02,-1.6684058,-0.48924106,4.2074575
0_2,2025-03,-1.5320964,-0.398834,4.346181
0_2,2025-04,-1.6629636,0.91698235,4.3389206
0_2,2025-05,-1.2656987,-0.6682561,3.8317928
0_2,2025-06,0.18099555,-1.320291,3.5814023
0_2,2025-07,0.95983917,-3.2898989,4.014102
0_2,2025-08,-0.5532489,-2.4959066,3.7470777
0_2,2025-09,-1.2881945,-1.4982567,3.310787
0_2,2025-10,-0.389669,-1.9965754,3.0458798
0_2,2025-11,-0.16314329,-0.61795336,2.7473488
0_2,2025-12,-0.8087372,0.32009837,3.3266342
0_2,2026-01,-0.26333705,0.38425913,4.101054
0_2,2026-02,-0.7473115,1.6033686,4.039462
0_2,2026-03,-1.1923705,-0.03383341,4.5388355
0_2,2026-04,-1.9905773,0.08034795,4.535414
0_2,2026-05,-1.4513909,-0.13337068,4.159184
0_2,2026-06,-0.60649794,-0.8215463,3.5579867
0_2,2026-07,0.6156401,-3.5313115,4.244106
0_2,2026-08,-0.69248825,-1.1738864,3.0671873
0_3,2023-01,-1.040729,-0.01574301,3.7100806
0_3,2023-02,-1.2132752,0.142328,4.6367846
0_3,2023-03,-1.4251302,1.2524663,4.282037
0_3,2023-04,-0.010175577,-0.18540637,3.3613515
0_3,2023-05,-1.2097219,1.1935624,4.2062426
0_3,2023-06,0.067362085,-2.5985956,4.0258017
0_3,2023-07,-0.41799805,-1.5674913,3.3942845
0_3,2023-08,-0.6965421,-0.56073296,3.6347594
0_3,2023-09,-1.0946774,-1.1435397,2.954928
0_3,2023-10,-1.3839328,0.56344885,2.9615595
0_3,2023-11,-1.3976766,0.19541486,3.2382522
0_3,2023-12,-0.6561473,0.79985464,3.090894
0_3,2024-01,-0.73851913,1.0591434,3.7535846
0_3,2024-02,-1.2715042,0.491715,4.5287423
0_3,2024-03,-1.6025044,0.32426083,4.361608
0_3,2024-04,-0.9542052,0.20503578,4.062977
